stationNumber,slope,lowBound,hightBound,slopeInt,meanWind,pw1990,pw2017,pwDiff,mw1990,mw1991,mw1992,mw1993,mw1994,mw1995,mw1996,mw1997,mw1998,mw1999,mw2000,mw2001,mw2002,mw2003,mw2004,mw2005,mw2006,mw2007,mw2008,mw2009,mw2010,mw2011,mw2012,mw2013,mw2014,mw2015,mw2016,mw2017
911760-22519,-0.025725232621781613,-0.17019475415462076,0.11874428891105754,0,37.92857142857143,63,61,2.0000000000000027,42,38,36,39,35,36,39,39,42,45,39,41,32,35,38,36,33,38,35,37,38,38,38,34,37,40,42,40
060340-99999,-0.14094143404488313,-0.2620720407972386,-0.019810827292527658,-1,54.75,239,236,2.999999999999966,58,57,56,58,60,57,52,53,59,53,58,52,53,51,54,56,52,55,56,53,51,56,55,52,53,58,50,55
076450-99999,-0.111932129173512,-0.16790068107574213,-0.05596357727128188,-1,32.32142857142857,2,357,5.000000000000009,32,35,32,33,33,33,35,32,34,33,33,34,31,33,33,33,33,32,31,33,33,29,32,32,30,30,30,31
042280-99999,-0.054734537493159874,-0.21461625724517067,0.10514718225885092,0,60.42857142857143,341,355,13.999999999999995,60,62,60,56,59,64,61,70,60,62,60,54,59,62,65,64,60,61,59,59,57,58,58,59,60,66,56,61
233830-99999,0.19266557197592735,0.019631571987565294,0.36569957196428937,1,16.642857142857142,204,252,47.99999999999999,23,16,15,15,14,11,21,17,16,11,10,18,16,14,11,14,16,16,14,18,17,17,16,18,22,23,24,23
299560-99999,0.09961685823754857,-0.010604991442867959,0.2098387079179651,0,23.214285714285715,235,248,13.000000000000005,21,17,20,21,24,26,27,23,25,23,24,22,23,23,25,22,25,24,24,19,22,21,21,26,25,26,25,26
083970-99999,-0.3467432950191617,-0.4727287092264454,-0.22075788081187797,-1,30.821428571428573,241,214,27.000000000000025,36,37,36,40,31,34,33,30,28,33,27,35,33,32,29,32,28,26,32,32,31,26,27,27,27,25,28,28
336630-99999,0.14340448823207885,0.022942214361490798,0.2638667621026669,1,13.214285714285714,305,322,17.00000000000001,14,12,13,12,12,13,14,14,15,13,12,12,11,10,10,11,9,11,13,11,12,12,13,17,18,18,19,19
863500-99999,-0.7846195949644351,-0.9782135557565281,-0.5910256341723421,-1,35.82142857142857,124,99,25.0,45,45,46,48,48,46,37,39,32,38,37,46,44,40,36,32,29,29,29,28,28,30,28,27,27,27,32,30
917720-99999,0.18445539135193903,-0.011629371306717456,0.3805401540105955,0,27.642857142857142,102,86,15.999999999999996,17,19,19,22,27,29,31,33,31,31,25,29,31,32,33,30,31,27,28,29,30,25,23,28,27,27,31,29
308460-99999,0.09113300492611034,-0.012948774946037467,0.19521478479825816,0,26.535714285714285,252,272,20.00000000000003,26,26,26,27,27,28,28,26,25,27,23,27,24,24,27,24,26,26,27,25,26,25,26,26,26,29,33,33
476780-99999,-0.41817186644773613,-0.5379794519528268,-0.29836428094264544,-1,51.42857142857143,266,274,8.00000000000001,55,53,55,57,52,55,54,56,56,55,53,56,59,57,49,50,50,48,47,47,48,49,48,48,46,47,44,46
614150-99999,-0.6748768472906435,-0.8294838118425685,-0.5202698827387184,-1,70.57142857142857,353,2,8.999999999999963,88,85,78,79,78,72,75,72,70,74,73,70,68,68,70,69,67,69,66,66,61,66,64,66,68,63,65,66
878960-99999,-0.5777230432402881,-1.0151793954892425,-0.1402666909913336,-1,89.75,290,277,13.000000000000005,103,90,91,89,91,88,105,95,103,92,86,93,82,99,97,87,83,86,115,102,87,77,75,73,73,83,84,84
725260-14860,-0.28051450465243477,-0.3940480646029918,-0.16698094470187777,-1,44.107142857142854,224,224,0.0,54,49,49,50,45,45,45,45,42,46,43,43,45,44,43,42,43,43,44,39,39,41,40,43,43,42,44,44
121200-99999,-0.052545155993421466,-0.31158350042433636,0.20649318843749342,0,47.857142857142854,253,244,9.0,62,55,50,52,50,47,39,45,51,43,43,40,44,40,50,47,45,51,51,45,44,50,42,47,48,55,49,55
595620-99999,0.0164203612479481,-0.053482687064142276,0.08632340956003848,0,20.857142857142858,19,22,2.999999999999998,21,21,21,20,20,19,22,20,19,19,25,21,19,20,23,22,22,22,21,22,21,20,20,21,21,20,23,19
836490-99999,0.4767378215654099,0.32637276461737386,0.6271028785134459,1,35.857142857142854,79,40,39.0,24,27,25,30,30,31,33,34,37,36,36,39,39,38,39,38,39,43,39,39,39,35,37,35,40,43,40,39
835870-99999,-0.06239737274220397,-0.23365743614508058,0.10886269066067264,0,28.571428571428573,125,88,37.000000000000014,26,29,28,29,39,32,36,27,28,28,29,28,27,28,28,28,23,26,25,24,25,26,25,29,32,31,31,33
012120-99999,0.14367816091955038,-0.3588604978933653,0.646216819732466,0,73.03571428571429,223,232,9.000000000000025,81,71,84,76,72,79,65,79,76,45,38,73,68,77,77,76,68,83,76,75,67,81,82,74,70,83,71,78
942070-99999,0.34920634920635596,0.182067856618974,0.516344841793738,1,54.42857142857143,181,188,6.9999999999999964,52,52,53,56,43,54,49,55,51,49,56,53,47,53,54,52,52,55,56,59,61,61,58,62,60,59,54,58
722590-03927,0.06759715380405368,-0.05424517760395041,0.18943948521205778,0,47.25,175,167,8.00000000000001,49,45,41,45,45,50,52,46,49,48,47,45,47,47,46,45,50,44,51,48,47,50,46,48,52,45,47,48
430030-99999,0.08073344280241103,-0.08937963310587495,0.250846518710697,0,19.25,280,264,15.999999999999972,20,21,20,20,20,18,18,19,14,16,15,17,24,20,20,20,21,21,19,17,15,17,18,18,16,17,29,29
719675-99999,0.05062944718117093,-0.10260834635593691,0.20386724071827877,0,12.392857142857142,323,331,8.00000000000001,10,10,10,10,12,10,13,15,11,15,17,20,15,14,12,11,14,9,10,11,9,10,9,9,10,17,16,18
766920-99999,-0.42665571975916555,-0.6463010881177778,-0.20701035140055335,-1,33.535714285714285,33,28,5.000000000000001,49,44,37,42,31,33,34,31,29,33,30,44,40,41,30,31,29,30,30,31,29,33,29,32,30,29,29,29
243820-99999,0.2572523262178511,0.08259683741462356,0.43190781502107867,1,16.071428571428573,301,310,9.0,17,13,16,16,15,16,13,12,13,15,16,15,15,16,14,14,15,13,15,13,13,13,14,16,24,26,25,27
836920-99999,-0.2509578544061297,-0.5231662114579114,0.021250502645651925,0,29.678571428571427,30,61,31.0,38,41,41,35,34,32,21,22,16,25,28,29,32,36,36,34,32,28,24,24,25,27,27,28,28,31,29,28
477460-99999,-0.021346469622331166,-0.06839092212423112,0.025697982879568787,0,30.285714285714285,121,76,45.0,32,31,31,31,30,31,30,30,29,31,30,30,30,30,30,31,29,30,29,29,30,29,31,33,31,30,29,31
072050-99999,-0.23891625615763962,-0.31592798729777444,-0.1619045250175048,-1,44.964285714285715,266,264,1.9999999999999774,47,47,45,47,47,47,47,48,48,47,46,47,49,45,44,43,46,46,44,42,42,41,43,42,43,45,42,39
607150-99999,-0.3032293377121035,-0.46712939139802834,-0.1393292840261786,-1,40.0,308,300,8.00000000000001,41,41,38,41,47,44,43,45,44,47,47,49,40,37,35,37,36,37,35,37,38,37,38,40,36,37,36,37
167460-99999,-0.3026819923371636,-0.5414698050526591,-0.0638941796216681,-1,37.357142857142854,329,322,6.999999999999972,48,54,50,38,29,35,38,39,41,33,31,38,35,33,34,38,37,36,36,37,39,34,37,39,33,33,34,37
514635-99999,0.3267651888341636,0.20862204073927176,0.44490833692905546,1,22.0,286,294,7.99999999999996,23,21,20,19,16,16,15,21,21,19,18,22,21,19,21,19,21,26,27,27,26,25,25,25,26,25,25,27
577930-99999,0.016694033935414437,-0.06246929080697487,0.09585735867780375,0,19.035714285714285,24,103,79.0,20,20,23,21,19,17,18,17,17,17,17,16,17,18,21,20,20,20,19,21,20,19,19,20,19,19,20,19
407390-99999,0.987684729064062,0.7758101293605613,1.1995593287675628,1,19.464285714285715,21,22,0.9999999999999982,16,13,9,12,14,13,11,12,9,11,11,14,11,13,12,18,22,21,21,28,26,28,27,32,37,34,35,35
442650-99999,0.5536398467433078,0.34527600704029515,0.7620036864463204,1,14.821428571428571,266,268,2.0000000000000284,13,10,11,12,10,11,12,11,11,11,11,11,11,13,13,12,14,14,16,15,12,12,12,23,31,28,28,27
942110-99999,-0.49863163656266896,-0.7725368015465979,-0.22472647157874004,-1,8.285714285714286,108,86,21.999999999999993,26,26,24,22,8,4,8,7,6,4,5,5,4,5,4,5,5,5,6,7,4,4,4,7,10,7,5,5
477350-99999,0.3527640941434094,0.1949796472225075,0.5105485410643114,1,57.75,242,181,61.0,53,51,52,52,47,51,54,57,57,56,57,61,64,63,62,60,61,60,60,61,63,61,60,59,61,59,56,59
718760-99999,0.28735632183908666,0.17702630826608068,0.39768633541209264,1,40.714285714285715,339,331,7.99999999999996,39,39,40,36,35,33,36,38,36,40,41,43,40,42,42,41,45,44,44,41,43,43,46,43,43,40,43,44
080230-99999,0.9912424740011055,0.5264530775073504,1.4560318704948607,1,41.07142857142857,207,278,71.00000000000001,23,21,20,20,22,22,21,36,44,50,54,50,52,52,55,57,54,49,41,41,46,43,44,49,47,46,45,46
634510-99999,0.09414340448823161,-0.25330908165080934,0.44159589062727256,0,26.142857142857142,109,126,17.0,22,33,20,22,26,23,21,24,19,25,36,28,27,35,29,47,25,26,23,18,14,18,17,30,37,31,28,28
253990-99999,-0.018609742747674518,-0.28670883905538774,0.2494893535600387,0,60.785714285714285,307,282,24.999999999999975,61,65,64,65,58,57,72,63,61,61,66,62,59,56,60,52,52,53,53,58,57,56,59,61,64,66,69,72
722015-12850,0.2955665024630589,0.14413079325275113,0.4470022116733666,1,42.857142857142854,82,86,4.000000000000005,39,40,40,35,31,39,44,41,45,45,43,43,44,42,50,46,45,43,45,42,44,41,42,44,44,46,48,49
269610-99999,-0.48056923918993455,-0.5983878354386559,-0.3627506429412132,-1,30.0,257,259,2.0000000000000284,38,34,36,38,35,33,32,36,35,34,32,31,32,28,28,27,27,28,27,24,23,26,22,25,24,28,29,28
718420-99999,-0.1902025177887281,-0.3576310985351925,-0.022773937042263714,-1,32.25,256,267,10.999999999999977,34,33,30,33,31,30,30,34,34,38,36,38,37,36,37,35,33,36,35,28,24,28,28,27,31,30,28,29
653610-99999,-0.22632731253421057,-0.30805425423331995,-0.1446003708351012,-1,8.892857142857142,118,115,3.000000000000017,14,14,12,9,11,11,12,12,9,10,10,9,10,8,7,6,6,6,5,5,7,9,9,9,8,7,7,7
915870-99999,-0.342911877394641,-0.49147375729023723,-0.19434999749904477,-1,35.535714285714285,120,114,5.999999999999983,40,36,41,43,49,40,35,38,32,37,34,31,36,34,36,34,36,36,33,34,33,31,35,32,33,35,30,31
645100-99999,0.03338806787081325,-1.8344173338786807,1.901193469620307,0,24.928571428571427,293,230,63.0,12,12,8,9,26,47,14,42,23,10,21,7,13,12,10,7,61,136,161,15,0,21,31,0,0,0,0,0
716000-99999,0.10153256704980818,-0.06818854503561628,0.27125367913523263,0,67.10714285714286,237,280,42.99999999999997,64,62,64,59,64,66,72,71,69,69,68,66,69,67,70,67,66,72,67,69,69,69,66,68,69,70,70,57
076670-99999,-0.285987958401758,-0.3657559756095346,-0.2062199411939814,-1,38.964285714285715,269,293,23.999999999999982,40,44,41,42,40,43,43,41,41,41,40,41,39,40,39,38,39,40,39,35,36,34,35,36,35,33,38,38
942550-99999,0.39135194307607835,0.03518350157009231,0.7475203845820644,1,36.0,149,139,9.999999999999988,21,19,21,25,36,57,33,23,44,42,39,39,38,39,39,38,38,38,41,37,39,34,37,39,39,40,36,37
820220-99999,-0.1234263820470761,-0.31365801551270833,0.06680525141855614,0,33.392857142857146,69,100,31.000000000000007,32,33,36,38,32,33,31,45,45,31,31,34,34,35,32,30,30,32,31,29,29,29,31,34,36,36,32,34
039760-99999,-0.24767378215653585,-0.657040196066168,0.1616926317530964,0,62.82142857142857,239,230,9.0,76,68,71,64,78,70,51,36,52,73,72,57,68,64,67,61,61,59,63,62,52,64,60,60,59,68,61,62
644580-99999,0.07608100711549087,-0.02166970028354423,0.17383171451452598,0,10.0,277,221,56.00000000000003,9,9,11,10,10,10,10,9,11,11,10,8,9,6,8,9,7,8,12,11,13,7,10,14,15,13,10,10
943500-99999,-0.4573070607553499,-0.6933888219896602,-0.2212252995210395,-1,25.892857142857142,80,95,15.000000000000009,24,36,31,38,32,36,26,26,30,35,32,25,20,21,24,29,21,16,16,22,26,24,25,20,17,22,23,28
517110-99999,0.02298850574712971,-0.05389937676606271,0.09987638826032214,0,22.857142857142858,235,239,4.000000000000005,26,23,23,23,22,23,21,22,20,21,21,22,21,25,27,23,24,23,22,24,23,21,22,24,24,23,24,23
768556-99999,-0.2172961138478396,-0.4370985230988022,0.0025062954031230267,0,38.142857142857146,174,90,83.99999999999999,43,38,57,38,40,38,38,35,34,38,39,41,39,37,39,37,39,34,33,35,32,35,38,39,46,38,32,36
585690-99999,-0.35495347564313423,-0.4939040431145021,-0.21600290817176637,-1,47.75,7,11,3.999999999999999,54,52,56,53,53,51,53,47,47,46,48,47,48,48,51,52,43,44,41,43,43,42,43,46,45,47,47,47
485500-99999,-0.17597153804050114,-0.31733763710092827,-0.03460543898007401,-1,16.25,146,74,72.0,24,20,19,20,19,16,15,16,19,16,12,16,19,16,18,16,12,12,14,14,11,13,12,14,19,17,21,15
386130-99999,-0.2840722495894934,-0.36865068177544336,-0.19949381740354347,-1,15.071428571428571,18,23,5.000000000000001,21,20,20,19,21,16,16,15,14,15,16,15,15,15,15,13,14,14,15,15,12,10,11,11,12,13,14,15
265440-99999,-0.02654625068417843,-0.10966775520826091,0.056575253839904055,0,26.464285714285715,238,217,20.99999999999999,31,26,25,27,25,26,23,26,26,29,28,27,27,28,27,26,26,24,29,25,26,27,27,26,27,27,27,23
478080-99999,-0.008210180623977048,-0.1070059480243089,0.09058558677635481,0,37.92857142857143,274,314,40.00000000000001,34,34,35,39,38,38,39,41,39,38,40,39,42,40,39,41,39,38,36,37,38,37,37,38,37,36,35,38
337610-99999,-0.084291187739467,-0.15847854852653592,-0.010103826952398101,-1,30.571428571428573,282,290,8.00000000000001,29,31,32,32,33,32,32,32,31,28,32,31,32,33,31,30,29,31,29,29,29,28,30,31,30,27,29,33
171290-99999,0.13656267104543382,0.009316444636882915,0.2638088974539847,1,22.321428571428573,337,299,37.99999999999998,23,23,23,19,20,22,21,23,23,19,19,25,19,21,21,21,19,20,20,19,29,26,26,28,24,24,25,23
121350-99999,-0.11767925561028658,-0.25683333117305224,0.021474819952479074,0,39.5,243,248,4.999999999999995,47,43,41,41,40,40,36,37,42,40,39,41,41,40,39,38,37,39,39,36,37,39,37,35,33,42,42,45
888890-99999,0.15571975916804148,0.001957687643098893,0.3094818306929841,1,76.17857142857143,277,288,10.999999999999977,79,74,72,74,72,77,82,76,70,78,76,79,70,74,76,73,76,75,74,74,79,74,79,82,81,81,77,79
241250-99999,-0.04460864805692055,-0.19284475482825045,0.10362745871440934,0,25.892857142857142,295,346,50.999999999999986,31,26,29,33,25,27,27,26,25,25,27,24,22,22,22,24,23,24,23,23,25,24,23,26,31,30,28,30
418830-99999,-0.274493705528191,-0.3641887721339266,-0.18479863892245546,-1,9.821428571428571,118,112,6.000000000000009,15,13,16,15,15,15,10,10,10,9,8,8,8,8,11,10,9,8,7,6,8,7,9,9,8,7,8,8
105020-99999,0.13355227148331308,-0.10967945123252201,0.3767839941991482,0,31.714285714285715,242,279,36.99999999999999,36,33,34,33,31,30,31,31,32,18,17,30,32,31,34,34,33,34,32,31,32,34,35,37,29,26,34,44
827890-99999,0.1847290640394294,-0.31223597587303753,0.6816941039518963,0,32.535714285714285,90,250,160.00000000000003,51,30,32,31,28,26,27,25,26,29,27,28,26,26,40,32,33,28,33,42,46,45,42,38,38,25,2,55
228920-99999,-0.014230979748220629,-0.185943156599677,0.15748119710323574,0,33.07142857142857,232,217,15.000000000000009,34,31,32,30,33,34,36,34,35,35,39,35,34,35,33,36,28,31,31,25,25,33,30,31,34,40,35,37
286980-99999,0.24876847290640858,0.06710014685074711,0.43043679896207004,1,33.32142857142857,211,235,23.999999999999982,31,28,28,28,27,27,25,28,41,40,36,36,38,34,36,33,38,37,35,32,34,33,31,36,36,35,35,35
850430-99999,0.4061302681992407,0.2981521325661489,0.5141084038323325,1,19.357142857142858,312,5,53.00000000000002,15,13,13,13,14,18,18,17,17,17,20,23,20,19,21,23,18,16,18,19,21,23,20,25,24,25,28,24
655160-99999,-0.07991242474001092,-0.15132410903989718,-0.008500740440124666,-1,11.5,170,136,34.0,14,13,14,15,14,12,11,11,10,11,11,10,12,11,11,10,9,10,10,10,10,11,14,13,12,12,11,10
121150-99999,0.5333880678708336,0.3215904594909149,0.7451856762507523,1,48.82142857142857,235,255,20.00000000000003,41,40,42,43,40,40,35,41,53,48,49,52,49,50,56,55,51,58,56,54,52,55,54,50,48,51,50,54
386870-99999,-0.08264915161466799,-0.1516454381138111,-0.013652865115524881,-1,31.0,351,1,10.000000000000004,34,33,33,31,31,31,32,32,32,31,30,32,30,32,32,28,32,31,29,28,28,29,30,30,32,32,32,31
947410-99999,-0.07471264367815703,-0.2120037226181347,0.06257843526182064,0,26.178571428571427,269,299,30.000000000000018,33,29,27,26,31,27,28,23,22,24,26,28,28,23,25,21,26,22,22,29,25,25,27,30,26,27,26,27
975300-99999,-0.1836343732895545,-0.4223201708535359,0.05505142427442686,0,14.821428571428571,144,133,11.000000000000004,10,5,16,22,29,21,21,18,19,15,14,14,14,10,16,22,15,9,11,10,11,10,10,13,14,17,16,13
105000-99999,0.05993431855501219,-0.23142794664881938,0.35129658375884376,0,31.464285714285715,243,237,5.999999999999983,34,32,33,34,34,32,31,29,35,20,19,35,36,33,35,35,10,32,34,33,31,33,31,29,31,39,34,37
624350-99999,-0.32484948002189346,-0.5131084456578417,-0.1365905143859452,-1,31.75,353,1,7.999999999999975,42,44,29,35,32,43,37,32,28,35,31,27,31,30,31,29,27,25,29,29,31,31,29,31,31,30,31,29
787950-99999,-0.27969348659004417,-0.5246857479842013,-0.03470122519588703,-1,21.714285714285715,344,360,15.999999999999972,23,19,19,21,25,23,20,24,24,21,25,33,25,29,38,26,22,24,19,18,19,16,15,18,16,16,17,13
488480-99999,-0.1431308155446127,-0.31321984952788273,0.02695821843865734,0,21.392857142857142,340,313,26.999999999999996,21,22,23,22,20,28,30,27,25,25,23,23,20,17,14,17,15,16,20,21,19,21,20,22,22,22,22,22
854420-99999,-0.10043787629994505,-0.21052415054298096,0.009648397943090845,0,37.607142857142854,192,199,6.9999999999999964,41,39,40,41,42,40,41,34,35,35,35,35,37,35,35,40,40,40,37,35,36,37,36,37,37,37,37,39
612330-99999,0.1581828133552215,-1.7498389205015816,2.0662045472120245,0,28.785714285714285,37,76,39.00000000000001,20,25,15,14,18,21,21,23,24,25,34,23,24,26,25,25,226,22,29,23,23,23,22,17,15,13,14,16
949630-99999,0.36124794745485245,0.12353437336276937,0.5989615215469355,1,19.285714285714285,273,249,24.000000000000036,18,23,19,22,21,14,12,15,18,13,13,12,16,15,23,18,16,12,22,20,17,19,22,23,24,26,33,34
033770-99999,0.035577449370557956,-0.10466447891742808,0.175819377658544,0,47.142857142857146,232,234,1.9999999999999774,52,48,49,46,50,48,47,45,48,47,47,42,45,43,44,43,43,43,47,48,46,51,49,50,51,52,47,49
713970-99999,-0.10974274767377923,-0.20998060106954752,-0.009504894278010947,-1,37.535714285714285,266,268,2.0000000000000284,44,41,38,39,42,36,36,38,38,38,38,35,37,36,36,36,36,38,36,36,36,35,34,39,39,37,37,40
946010-99999,0.11713191023535852,-0.04604786766307001,0.28031168813378704,0,83.64285714285714,221,193,27.99999999999999,80,80,80,80,77,86,86,84,83,87,85,80,86,87,83,86,84,91,86,86,77,88,81,87,82,80,85,85
471560-99999,-0.2082649151614705,-0.30257954057608294,-0.11395028974685807,-1,20.75,291,330,38.999999999999964,23,22,24,23,20,23,23,22,23,21,26,23,22,19,19,19,17,18,20,21,22,21,22,21,19,16,16,16
851230-99999,-0.2681992337164827,-0.38535023843819627,-0.1510482289947691,-1,36.714285714285715,324,337,13.000000000000005,36,37,40,40,41,41,39,41,36,34,41,41,40,37,37,37,39,37,33,32,34,34,34,30,37,35,33,32
407010-99999,0.8399014778325365,0.5659331763092716,1.1138697793558014,1,21.892857142857142,285,192,92.99999999999997,25,11,14,14,12,14,15,19,15,20,18,21,17,15,15,15,24,26,27,25,23,21,22,27,31,40,43,44
066100-99999,-0.10043787629994616,-0.16691076113422804,-0.0339649914656643,-1,19.821428571428573,219,225,5.999999999999983,22,22,21,21,20,22,19,19,22,20,18,22,19,18,20,19,20,23,20,19,19,17,20,18,17,19,19,20
856290-99999,0.34373289545703445,0.18680865375105538,0.5006571371630135,1,27.785714285714285,187,204,17.00000000000001,19,18,21,24,25,25,25,26,22,27,29,31,32,32,29,30,31,32,31,35,32,32,31,27,28,28,26,30
725250-14852,-0.1724137931034494,-0.23754360808276598,-0.1072839781241328,-1,38.0,237,232,4.999999999999995,42,42,39,40,39,38,39,40,37,39,38,39,39,39,38,37,38,39,38,36,34,35,34,36,37,37,37,38
266590-99999,-0.1784345922276952,-0.2853633906308826,-0.0715057938245078,-1,23.214285714285715,248,234,13.999999999999995,29,27,29,28,24,22,19,24,24,23,23,22,24,25,23,22,19,23,24,21,20,23,21,20,21,23,23,24
949580-99999,-0.06403940886700019,-0.42678768265560785,0.2987088649216074,0,42.57142857142857,269,239,30.000000000000018,39,45,49,46,45,43,43,44,45,40,38,37,40,39,39,35,43,43,46,45,45,42,45,59,61,42,35,19
172000-99999,0.2430213464696259,0.18131147962179595,0.30473121331745584,1,28.214285714285715,292,231,61.00000000000002,25,25,27,25,27,25,25,27,25,28,28,26,30,27,29,30,29,30,28,29,29,31,30,32,30,28,33,32
284110-99999,-0.1384783798576896,-0.2510199315654944,-0.025936828149884822,-1,33.857142857142854,221,187,34.0,39,37,37,34,35,34,31,35,35,34,32,35,36,35,35,33,35,33,34,29,28,31,29,34,37,35,32,34
560290-99999,0.3604269293924547,0.23687324770318485,0.4839806110817245,1,12.464285714285714,258,256,1.9999999999999774,11,11,13,11,9,8,8,7,8,11,9,10,12,12,12,12,12,11,11,12,12,14,16,17,23,19,19,19
548570-99999,-0.5596606458675443,-0.7272749332552807,-0.39204635847980784,-1,40.67857142857143,80,174,93.99999999999999,56,54,55,46,44,42,42,43,41,40,39,40,41,36,36,38,37,37,38,38,40,37,38,38,36,35,36,36
025500-99999,-0.09222769567597011,-0.21363410966273985,0.02917871831079963,0,39.25,234,227,6.9999999999999964,44,42,42,43,41,42,37,40,39,38,32,38,39,38,39,39,37,40,40,36,36,41,38,37,38,43,39,41
010890-99999,-0.059386973180070135,-0.2323245094389926,0.11355056307885233,0,46.392857142857146,204,197,6.9999999999999964,56,51,52,48,46,46,47,46,43,39,39,45,43,47,47,47,46,45,43,44,44,46,46,49,49,50,46,49
062600-99999,-0.0043787629994538335,-0.22312709587906196,0.2143695698801543,0,34.0,231,230,0.9999999999999887,33,30,32,38,43,40,29,19,36,39,40,36,36,31,33,31,33,33,34,32,30,35,35,35,34,38,34,33
122700-99999,-0.17487684729064037,-0.2892597200934856,-0.06049397448779513,-1,35.535714285714285,261,253,8.00000000000001,41,37,37,39,39,37,34,35,38,34,32,32,34,36,39,38,34,41,36,33,35,36,34,34,31,33,32,34
010250-99999,0.09605911330049455,-0.040646670437370996,0.2327648970383601,0,44.464285714285715,195,207,11.999999999999991,44,46,44,47,44,45,43,44,43,39,35,44,43,46,41,46,48,48,45,44,43,48,46,45,45,50,44,45
