stationNumber,slope,lowBound,hightBound,slopeInt,meanWind,mw1990,mw2017,pw1990,pw2017
084100-99999,-0.3743842364532095,-0.4683892790838189,-0.2803791938226001,-1,24.857142857142858,27,19,234,228
570670-99999,0.2772304324028529,0.10187827360867219,0.4525825911970336,1,11.678571428571429,11,23,60,24
724926-23258,-0.16338259441708242,-0.288570976666325,-0.03819421216783986,-1,30.464285714285715,29,30,327,322
718680-99999,-0.14066776135741832,-0.1954220728037797,-0.08591344991105694,-1,30.928571428571427,33,30,258,273
957580-99999,-0.08182813355227159,-0.18017134901242915,0.016515081907885976,0,32.535714285714285,35,32,276,206
294810-99999,-0.07991242474001334,-0.165711292335378,0.005886442855351337,0,19.357142857142858,19,18,230,260
478970-99999,0.06157635467980713,-0.06396154561471301,0.18711425497432727,0,28.678571428571427,32,29,5,1
131160-99999,0.16611932129173412,0.031800512599515274,0.300438129983953,1,29.25,23,31,43,64
077470-99999,-0.11439518336070537,-0.22499404338709972,-0.0037963233343110275,-1,47.142857142857146,45,45,324,319
576550-99999,0.001368363437328407,-0.055300400676507315,0.05803712755116413,0,14.821428571428571,14,15,35,354
471140-99999,0.018336070060206017,-0.08815439578516161,0.12482653590557365,0,12.821428571428571,10,10,254,259
584720-99999,-0.1458675424192662,-0.2723319984139112,-0.019403086424621185,-1,65.10714285714286,70,61,63,48
722900-23188,-0.4679802955665079,-0.5712410775663336,-0.36471951356668214,-1,28.0,36,26,282,277
170220-99999,-0.11466885604817126,-0.2807450733614216,0.05140736126507911,0,24.178571428571427,22,20,123,308
428860-99999,-0.2662835249042167,-0.3184205090863549,-0.2141465407220785,-1,7.321428571428571,13,4,268,200
877500-99999,-0.5013683634373435,-0.8002741093803869,-0.2024626174943,-1,60.285714285714285,59,49,348,328
384620-99999,0.7287903667214171,0.2910463091057117,1.1665344243371223,1,11.892857142857142,8,30,199,229
718920-99999,0.26026272577996895,0.14650211947379022,0.3740233320861477,1,35.75,30,37,135,113
411980-99999,0.40202517788725084,0.19738304987269806,0.6066673059018036,1,31.178571428571427,24,33,228,26
288380-99999,0.047892720306518005,-0.36483047427929993,0.460615914892336,0,31.25,35,31,242,256
942120-99999,-0.2008757525998979,-0.5014924411562856,0.09974093595648978,0,26.285714285714285,23,31,100,89
133880-99999,0.45867542419266993,0.361875897585131,0.5554749508002088,1,21.714285714285715,13,27,334,337
136150-99999,-0.10563765736180825,-0.7002242599577782,0.4889489452341617,0,22.5,11,24,321,246
279280-99999,-0.01122058018609784,-0.09054057411145305,0.06809941373925738,0,22.964285714285715,23,25,246,236
543770-99999,0.1986863711001693,0.0747847486921279,0.32258799350821066,1,15.214285714285714,15,23,222,337
561440-99999,0.03366174055829428,-0.09867611474942133,0.16599959586600987,0,12.535714285714286,14,16,96,165
268500-99999,0.07060755336617486,-0.048168102757753656,0.18938320949010337,0,30.285714285714285,29,31,240,253
603600-99999,-0.05719759168035021,-0.14772253801065727,0.03332735464995684,0,37.32142857142857,39,34,346,359
724635-23067,0.010946907498629865,-0.09512613591385481,0.11701995091111454,0,44.785714285714285,42,43,215,262
073850-99999,-0.036398467432953746,-0.13282951142969748,0.06003257656378999,0,26.035714285714285,23,27,313,295
601070-99999,0.2947454844006637,0.18158733177665973,0.4079036370246677,1,25.607142857142858,25,28,359,347
802340-99999,-0.07279693486590055,-0.1842875588355062,0.0386936891037051,0,7.857142857142857,10,13,91,59
074380-99999,-0.9608648056924223,-1.92367525703632,0.0019456456514753695,0,24.607142857142858,19,14,247,246
106070-99999,-0.08812260536399247,-0.2967297128895624,0.12048450216157747,0,35.857142857142854,29,32,267,236
855740-99999,0.47591680350301724,0.3655800607849964,0.5862535462210381,1,29.107142857142858,23,33,171,184
028070-99999,0.5021893814997425,0.26334515033703587,0.741033612662449,1,26.178571428571427,30,30,238,240
864300-99999,-0.2588943623426383,-0.5130077526794734,-0.004780972005803186,-1,42.357142857142854,50,32,110,77
118800-99999,0.26710454296661784,0.029349908789129853,0.5048591771441058,1,19.071428571428573,18,31,292,273
171160-99999,0.1469622331691333,-0.03814428952732704,0.3320687558655936,0,21.392857142857142,21,23,41,13
919380-99999,0.0998905309250131,0.017274862920812595,0.1825061989292136,1,30.535714285714285,27,34,62,77
307100-99999,-0.17131910235358605,-0.23544740228569416,-0.10719080242147795,-1,30.928571428571427,35,29,296,293
402600-99999,-0.47427476737822344,-0.7212943918318444,-0.22725514292460244,-1,35.535714285714285,41,30,286,264
318780-99999,-0.07115489874110523,-0.1564278453940027,0.014118047911792247,0,18.5,21,21,229,251
479360-99999,-0.0845648604269264,-0.19252732683720952,0.02339760598335673,0,52.82142857142857,59,50,78,59
569460-99999,0.23043240284620078,0.16737553187156956,0.293489273820832,1,9.285714285714286,8,12,270,230
165600-99999,0.08264915161466857,-0.00594119208268655,0.1712394953120237,0,40.785714285714285,38,41,307,323
368590-99999,-0.32375478927203505,-0.4469418630955233,-0.20056771544854682,-1,19.321428571428573,24,18,88,170
616950-99999,0.25314723590586136,0.07767351186415661,0.4286209599475661,1,19.75,18,24,318,293
870160-99999,0.24356869184455548,0.03736326014935859,0.4497741235397524,1,19.357142857142858,14,18,88,167
645500-99999,nan,nan,nan,0,23.037037037037038,3.0,0.0,198.0,272.0
688420-99999,0.1573617952928283,-0.015884573057907553,0.33060816364356416,0,53.107142857142854,47,55,238,234
722620-23055,-0.07088122605364067,-0.7462182577816908,0.6044558056744095,0,86.39285714285714,88,89,253,253
534870-99999,-0.07416529830323274,-0.19089946551280798,0.04256886890634251,0,28.25,27,26,334,305
539590-99999,-0.1860974274767411,-0.31383426146312526,-0.05836059349035694,-1,24.214285714285715,26,22,130,128
634500-99999,-0.1250684181718685,-0.3892556316691713,0.13911879532543428,0,37.75,39,35,93,90
084300-99999,-0.09304871373836857,-0.1864995233816028,0.0004020959048656597,0,23.0,26,24,34,21
962370-99999,0.06759715380404897,-0.07930477760714007,0.21449908521523803,0,17.535714285714285,14,23,77,147
977220-99999,0.07252326217843912,-0.047277313384269395,0.19232383774114764,0,10.964285714285714,14,11,144,104
509530-99999,-0.17131910235358216,-0.36277314118831394,0.02013493648114964,0,26.714285714285715,35,31,212,251
064650-99999,-0.1850027367268729,-0.41133184126254907,0.04132636780880325,0,38.642857142857146,46,34,238,236
580400-99999,-0.08511220580185924,-0.16386673207775362,-0.00635767952596486,-1,24.535714285714285,29,26,65,77
383410-99999,-0.16475095785440666,-0.33926924781909484,0.009767332110281496,0,21.0,25,26,296,294
956240-99999,-0.2591680350301081,-0.39601299523639366,-0.12232307482382251,-1,19.75,23,19,8,46
298380-99999,-0.13711001642035367,-0.4036346544445665,0.1294146216038591,0,36.464285714285715,49,36,221,224
651340-99999,nan,nan,nan,0,61.370370370370374,0.0,60.0,0.0,60.0
979000-99999,-0.5309250136836421,-0.7542511866576902,-0.307598840709594,-1,34.285714285714285,42,28,131,117
878030-99999,-1.1548987411056502,-1.3713812247491208,-0.9384162574621795,-1,55.714285714285715,76,48,263,277
714210-99999,-0.13026819923371652,-0.21945418079262613,-0.041082217674806895,-1,31.357142857142858,35,30,259,274
833740-99999,0.10481663929939328,-0.036077545307699216,0.24571082390648577,0,24.75,16,24,15,22
570360-99999,0.5621237000547391,0.41236988702475097,0.7118775130847272,1,23.142857142857142,12,25,206,48
476740-99999,0.0725232621784416,-0.0503147387179529,0.1953612630748361,0,33.25,39,37,350,331
486980-99999,0.19786535303777258,0.04503922938651114,0.350691476689034,1,22.178571428571427,23,26,69,122
599810-99999,-0.23043240284620164,-0.3696331776075288,-0.09123162808487453,-1,40.57142857142857,41,35,85,90
477550-99999,-0.05500821018062502,-0.13535577119304681,0.025339350831796795,0,36.82142857142857,37,37,281,269
986300-99999,0.024083196496997472,-0.20457228341815142,0.25273867641214637,0,21.571428571428573,30,27,35,26
284400-99999,0.05774493705528949,-0.07313728260301064,0.18862715671358962,0,32.107142857142854,39,35,240,231
255510-99999,0.036398467432952664,-0.04565130482020381,0.11844823968610914,0,21.178571428571427,23,22,357,350
388060-99999,0.12917350848385883,0.0011625501833895102,0.25718446678432816,1,23.214285714285715,26,27,360,349
085450-99999,0.5101258894362434,0.28318970388870146,0.7370620749837853,1,30.642857142857142,26,36,252,336
725090-14739,-0.3308702791461418,-0.43447102658917625,-0.22726953170310737,-1,50.892857142857146,60,51,263,266
610360-99999,-0.3754789272030692,-0.6563408373777182,-0.09461701702842024,-1,18.642857142857142,25,17,34,136
417180-99999,-0.3382594417077204,-0.4098807984234816,-0.2666380849919592,-1,12.214285714285714,19,7,289,278
013100-99999,0.2599890530925074,0.06339732404446774,0.4565807821405471,1,56.0,55,57,178,163
307410-99999,-0.1702244116037221,-0.5140514932578786,0.1736026700504344,0,30.0,36,28,319,293
960150-99999,-0.004378762999460467,-0.34453364525255503,0.33577611925363404,0,19.428571428571427,10,15,193,186
112550-99999,nan,nan,nan,0,8.88888888888889,nan,13.0,nan,221.0
010740-99999,-0.17898193760261488,-0.45240151791380073,0.09443764270857097,0,61.5,81,61,225,209
718660-99999,0.13984674329502272,0.06993620835840166,0.2097572782316438,1,42.892857142857146,43,47,258,255
560180-99999,0.2668308702791509,0.18306581750795803,0.3505959230503438,1,18.464285714285715,16,22,235,236
717270-99999,0.3084291187739473,0.1399387706032435,0.4769194669446511,1,41.035714285714285,33,43,280,278
943240-99999,-0.02162014230979767,-0.33239622404706204,0.28915593942746665,0,25.107142857142858,26,10,100,14
486570-99999,-0.27285166940340033,-0.3815963981038235,-0.16410694070297716,-1,18.535714285714285,19,17,17,297
475450-99999,-0.18582375478927715,-0.2601826897117288,-0.11146481986682549,-1,42.25,42,40,285,276
407010-99999,0.8399014778325365,0.5659331763092716,1.1138697793558014,1,21.892857142857142,25,44,285,192
607690-99999,0.4444444444444521,0.2875271834404704,0.6013617054484337,1,44.714285714285715,40,50,64,31
514310-99999,0.10974274767378223,0.026393128775897542,0.1930923665716669,1,16.321428571428573,13,17,69,110
029450-99999,-0.01724137931034106,-0.18598783104090888,0.15150507242022676,0,28.107142857142858,33,31,241,215
103340-99999,0.22249589490969718,-0.04990698437802393,0.4948987741974183,0,39.892857142857146,44,48,244,251
161530-99999,-0.045977011494252595,-0.3050956903493133,0.21314166736080808,0,51.214285714285715,53,48,11,340
605900-99999,-0.08456486042693154,-0.3493427775380289,0.18021305668416585,0,34.25,34,33,74,38
111350-99999,-0.18828680897646186,-0.3933900109926675,0.016816393039743804,0,25.285714285714285,34,25,225,265
948220-99999,-0.16639299397919843,-0.3739078134068248,0.04112182544842791,0,72.21428571428571,80,63,264,242
320270-99999,0.2512315270936078,-0.04482443751307563,0.5472874917002912,0,44.214285714285715,50,46,242,301
061700-99999,-0.2848932676518906,-0.39422692019301964,-0.17555961511076157,-1,48.607142857142854,54,45,241,240
703810-25309,-0.4143404488232084,-0.6248492389507718,-0.20383165869564498,-1,34.07142857142857,46,33,105,104
562940-99999,0.2463054187192163,0.1882617753816091,0.3043490620568235,1,15.214285714285714,13,18,357,16
766870-99999,-0.4140667761357453,-0.5389857528096216,-0.2891477994618689,-1,12.607142857142858,21,11,140,151
851520-99999,-0.12479474548440009,-0.24456046843274462,-0.005029022536055555,-1,25.285714285714285,30,26,352,335
619680-99999,-0.7041598248494907,-0.9076094335936613,-0.5007102161053201,-1,29.25,38,23,103,100
679650-99999,-0.24001094690749558,-0.420301135580295,-0.059720758234696164,-1,42.392857142857146,53,43,102,105
010620-99999,0.11740558292283004,-0.21696048766425496,0.45177165350991505,0,54.67857142857143,58,58,56,40
965950-99999,-0.12068965517241059,-0.217951169387551,-0.02342814095727018,-1,4.535714285714286,12,5,11,251
011410-99999,-0.10426929392446255,-0.23933703188471087,0.03079844403578577,0,46.464285714285715,54,45,206,215
621030-99999,-0.33908045977012485,-0.5484063715378332,-0.1297545480024165,-1,43.392857142857146,42,39,67,52
476900-99999,0.22441160372195293,0.11825047309673732,0.33057273434716855,1,31.214285714285715,29,34,249,265
717990-99999,0.24822112753147801,0.1662514982608228,0.3301907568021332,1,26.821428571428573,26,30,194,174
353020-99999,0.13957307060755003,-0.08036595878343161,0.3595120999985317,0,33.857142857142854,26,37,185,209
606070-99999,-0.3243021346469761,-0.7314815640115733,0.08287729471762112,0,47.17857142857143,41,54,96,56
172950-99999,0.3212917350848158,-0.0223022681883715,0.6648857383580031,0,35.92857142857143,0,37,0,336
726940-24232,-0.3122605363984667,-0.4429305570404377,-0.18159051575649565,-1,29.678571428571427,40,30,202,221
620020-99999,0.041324575807336505,-0.18544276343823515,0.2680919150529082,0,42.25,44,45,355,21
965090-99999,0.2796934865900466,0.16790065622751232,0.3914863169525809,1,8.857142857142858,10,14,183,256
912030-99999,-0.05582922824302264,-0.32977873694804327,0.21812028046199797,0,35.857142857142854,36,33,54,100
714540-99999,0.09168035030104243,0.014133128730149963,0.1692275718719349,1,22.035714285714285,22,24,269,269
590460-99999,0.030651340996167953,-0.054750824236991014,0.11605350622932692,0,16.714285714285715,15,17,14,21
945940-99999,0.024356869184451235,-0.2204181430986887,0.26913188146759115,0,78.89285714285714,73,75,183,115
787670-99999,0.033114395183366285,-0.08643354869956268,0.15266233906629526,0,26.392857142857142,32,26,355,32
403730-99999,-0.30569239189928366,-0.5224535062119893,-0.08893127758657801,-1,34.964285714285715,50,40,340,14
710960-99999,nan,nan,nan,0,35.91304347826087,33.0,49.0,328.0,331.0
415600-99999,-0.5112205801861085,-0.8764837927556988,-0.14595736761651817,-1,19.142857142857142,22,17,55,132
760053-99999,0.4619594964422591,0.24329864816271052,0.6806203447218077,1,27.142857142857142,18,30,231,273
851230-99999,-0.2681992337164827,-0.38535023843819627,-0.1510482289947691,-1,36.714285714285715,36,32,324,337
388950-99999,-0.18992884510126046,-0.2608345800146181,-0.11902311018790276,-1,21.357142857142858,25,21,13,31
946530-99999,0.05747126436781136,-0.06345227543604194,0.17839480417166464,0,53.357142857142854,46,51,197,177
013800-99999,0.10235358511220485,-0.08898026310091048,0.2936874333253202,0,26.785714285714285,23,27,265,310
480080-99999,-0.3270388615216227,-0.40666026362692165,-0.24741745941632373,-1,5.107142857142857,12,2,88,341
766913-99999,-2.048713738368957,-2.6096435673308678,-1.487783909407046,-1,41.714285714285715,50,24,34,19
116430-99999,0.3839627805145125,0.22820279190616694,0.5397227691228581,1,22.321428571428573,20,28,187,199
312950-99999,-0.07279693486589897,-0.3171579394235174,0.17156406969171945,0,26.5,30,33,351,330
486150-99999,-0.05309250136836138,-0.17616125071170818,0.06997624797498542,0,23.142857142857142,27,26,92,74
945000-99999,-0.01997810618499954,-0.17729439756590334,0.13733818519590427,0,20.535714285714285,25,26,166,64
103350-99999,0.18664477285168113,-0.09106709360391696,0.4643566393072792,0,38.785714285714285,47,51,230,254
483000-99999,0.23207443897099594,0.12190361767175181,0.34224526027024005,1,4.571428571428571,4,8,211,212
648510-99999,0.39107827038862125,0.16838590653015412,0.6137706342470883,1,35.035714285714285,31,44,339,38
287560-99999,-0.2353585112205778,-0.4833928900925545,0.012675867651398914,0,28.428571428571427,38,30,176,188
111460-99999,0.8965517241379339,0.31623193329079724,1.4768715149850706,1,74.78571428571429,51,73,264,318
363970-99999,-0.12698412698412725,-0.40194386539836396,0.14797561143010945,0,44.857142857142854,48,43,172,178
111480-99999,0.11767925561029663,-0.09917701334489856,0.33453552456549185,0,18.0,22,24,220,248
442410-99999,0.5320197044335095,0.2834334978697653,0.7806059109972538,1,19.071428571428573,17,32,44,32
509490-99999,-0.06130268199233496,-0.17603499828635538,0.053429634301685444,0,25.571428571428573,30,26,234,261
717150-99999,-0.11302681992337091,-0.2052524791811033,-0.020801160665638543,-1,27.535714285714285,32,25,258,275
125300-99999,-0.15736179529283598,-0.25140813136925166,-0.06331545921642028,-1,26.392857142857142,24,26,249,235
150800-99999,0.378215654077728,0.24740794406014138,0.5090233640953146,1,29.285714285714285,24,34,219,175
162440-99999,0.3853311439518346,0.20110008796959325,0.569562199934076,1,17.571428571428573,7,23,188,183
689260-99999,-0.3801313628899889,-0.48024334179232253,-0.28001938398765525,-1,23.607142857142858,29,21,192,155
766830-99999,0.3338806787082705,0.20623134557244704,0.4615300118440939,1,10.571428571428571,7,19,94,71
030910-99999,-0.1042692939244681,-0.19009610309768893,-0.01844248475124728,-1,45.607142857142854,47,46,223,247
431920-99999,-0.3787629994526611,-0.5566134267867983,-0.200912572118524,-1,20.714285714285715,25,11,289,304
804130-99999,0.03667214012041363,-0.08540401821876155,0.15874829845958882,0,20.0,16,16,199,216
718710-99999,0.17980295566502985,0.0903807826176802,0.26922512871237947,1,43.464285714285715,44,46,266,270
944220-99999,-0.3363437328954628,-0.7654673412469424,0.09277987545601674,0,27.964285714285715,31,42,167,131
070030-99999,-0.5821018062397469,-1.2713949768923691,0.10719136441287536,0,46.392857142857146,52,37,246,261
859340-99999,0.41297208538589514,0.21393611447354532,0.612008056298245,1,66.96428571428571,74,72,269,271
067240-99999,0.026546250684182232,-0.012132837417487156,0.06522533878585163,0,18.178571428571427,18,18,316,351
764910-99999,0.6518883415435297,0.4296404949949562,0.8741361880921033,1,12.285714285714286,11,20,64,38
714320-99999,0.24767378215654362,-0.03754939962653814,0.5328969639396254,0,44.892857142857146,40,45,262,287
606805-99999,0.05418719211824252,-0.23482446378890837,0.3431988480253934,0,39.357142857142854,56,40,343,90
943180-99999,0.900656814449933,0.699686368146598,1.1016272607532678,1,31.678571428571427,22,51,176,136
723560-13968,-0.03092501368362971,-0.13646072448315305,0.07461069711589363,0,42.464285714285715,49,43,180,170
579930-99999,0.08429118773946788,-0.026450863462417637,0.19503323894135338,0,14.428571428571429,17,15,353,4
722410-12917,-0.18281335522714887,-0.2700990679661701,-0.09552764248812763,-1,38.214285714285715,43,38,134,126
034140-99999,-0.051450465243566446,-0.1525981493690871,0.04969721888195423,0,41.92857142857143,46,42,245,236
