stationNumber,slope,lowBound,hightBound,slopeInt,pw1985,pw1995
674770-99999,0.14545454545452552,-0.8342141599606191,1.1251232508696702,0,106,104
066690-99999,-2.563636363636257,-3.7065146609312962,-1.4207580663412176,-1,231,224
161490-99999,-0.0909090909090593,-0.87190036300227,0.6900821811841514,0,13,315
387450-99999,-0.08181818181818556,-0.5446717651912614,0.38103540155489024,0,252,246
653800-99999,-0.3727272727272506,-0.7366895487291061,-0.008764996725395102,-1,227,215
718670-99999,-0.7909090909090599,-1.1384931675763657,-0.4433250142417542,-1,297,304
675910-99999,1.3909090909090147,0.5284013357202344,2.253416846097795,1,125,93
153160-99999,-0.06363636363636838,-0.4812304226142573,0.35395769534152055,0,87,59
725895-94236,0.25454545454545485,-0.5575938215211788,1.0666847306120886,0,288,253
726586-99999,-1.0454545454545494,-1.741669664803895,-0.34923942610520375,-1,251,290
403100-99999,-1.7636363636362598,-2.6044320920331745,-0.922840635239345,-1,265,262
780620-99999,-0.4545454545454355,-1.4345978171929938,0.5255069081021227,0,80,88
589180-99999,0.4363636363636143,0.08709372151672329,0.7856335512105053,1,308,277
313770-99999,1.145454545454498,0.7635369296160768,1.5273721612929192,1,326,165
275320-99999,-0.945454545454476,-1.4667968608304105,-0.4241122300785416,-1,254,254
579570-99999,-0.009090909090931909,-0.4458262733006537,0.4276444551187899,0,16,23
200660-99999,12.599999999999175,4.428699110977698,20.77130088902065,1,98,323
637660-99999,-0.6727272727272418,-1.1286764048604443,-0.21677814059403927,-1,113,113
875630-99999,0.48181818181816416,-0.07974994925144685,1.0433863128877752,0,103,333
719150-99999,-0.30909090909087045,-0.8083323085793777,0.19015049039763676,0,11,353
401000-99999,-0.3818181818181392,-2.0527569665739547,1.2891206029376765,0,213,226
114870-99999,0.5000000000001132,-1.2888191946283754,2.288819194628602,0,58,278
037970-35047,-0.34545454545453236,-0.9713296648075818,0.28042057389851704,0,230,233
965350-99999,-0.318181818181801,-0.6536579240054703,0.0172942876418683,0,281,298
297220-99999,0.3545454545454598,-0.23430849111197494,0.9433994002028946,0,208,222
029650-99999,-0.4272727272726722,-0.9770010197142002,0.1224555651688558,0,249,226
546240-99999,-0.08181818181815848,-0.5087600283113713,0.3451236646750544,0,65,191
723526-99999,-1.5272727272726652,-2.135634179567683,-0.9189112749776471,-1,167,183
586260-99999,-0.22727272727270575,-0.5527960481230609,0.09825059357764943,0,62,76
507580-99999,-1.736363636363544,-2.9335220834210998,-0.5392051893059882,-1,237,46
283830-99999,-0.19090909090909003,-0.5496697807094993,0.1678515988913193,0,233,219
350850-99999,-1.4727272727272007,-2.0452754945536826,-0.9001790509007189,-1,237,241
684380-99999,1.7818181818180907,0.9151525599572363,2.6484838036789453,1,352,331
764235-99999,1.1818181818181275,0.21188711310883035,2.1517492505274247,1,202,199
071390-99999,0.36363636363637397,-0.2074326153003172,0.9347053425730651,0,224,263
367860-99999,0.018181818181840614,-3.6385466087069918,3.674910245070673,0,172,358
266660-99999,-0.11818181818179951,-0.7867133948903765,0.5503497585267775,0,186,215
785470-11624,0.17272727272728616,-1.0193174426632472,1.3647719881178195,0,90,98
864400-99999,0.01818181818183584,-0.7413347886080321,0.7776984249717038,0,138,141
117350-99999,0.8272727272726845,0.5317107732328413,1.1228346813125278,1,269,274
232070-99999,0.09999999999996634,-0.45938825252136795,0.6593882525213006,0,85,202
170500-99999,-0.1636363636363527,-0.3337735280336562,0.006500800760950776,0,2,343
471066-99999,1.2818181818180978,0.23996763578439406,2.3236687278518016,1,305,214
239050-99999,0.6909090909090341,-0.7113408518718758,2.093159033689944,0,196,173
151840-99999,-0.5727272727272363,-1.030065634121382,-0.1153889113330906,-1,219,226
967970-99999,-0.3818181818181494,-0.904600672079729,0.14096430844343022,0,267,287
766546-99999,0.4181818181817931,-0.37841771741785823,1.2147813537814445,0,171,189
517050-99999,0.309090909090898,-0.1343182627513999,0.7525000809331959,0,259,260
636410-99999,2.2545454545453367,0.014347854726909581,4.494743054363764,1,148,157
504250-99999,-0.545454545454525,-1.0989736717909926,0.008064580881942618,0,254,288
262290-99999,0.21818181818183824,-2.128439400760621,2.5648030371242974,0,174,199
718250-99999,-0.7272727272726813,-1.0900063805548519,-0.3645390739905107,-1,284,278
966330-99999,-0.11818181818179996,-0.6389379248267557,0.4025742884631558,0,242,198
547740-99999,0.2727272727272876,-0.33035882126562977,0.8758133667202049,0,301,273
476710-99999,0.29090909090910255,-0.2512880264377253,0.8331062082559304,0,28,16
587650-99999,-2.3272727272725637,-5.077016673239134,0.42247121869400717,0,35,138
876370-99999,-0.25454545454542377,-0.6598621994980229,0.1507712904071754,0,327,295
232740-99999,1.9272727272726211,0.020935683874668598,3.8336097706705736,1,132,191
154450-99999,0.5363636363636175,-0.19808404175477135,1.2708113144820063,0,22,28
743700-99999,1.1818181818180697,-0.2619737248082772,2.6256100884444167,0,253,223
787920-99999,-0.47272727272724335,-0.8325995904038362,-0.11285495505065046,-1,353,57
722899-99999,0.1999999999999993,-0.20182357370391435,0.6018235737039129,0,254,242
333620-99999,-0.06363636363635461,-0.8048350902140611,0.6775623629413519,0,281,240
588200-99999,-0.1272727272727252,-0.30655480848716654,0.0520093539417161,0,245,240
359970-99999,-0.07272727272727164,-0.46627955543315547,0.3208250099786122,0,6,11
788580-99999,-0.9636363636363479,-1.6755032210616254,-0.2517695062110702,-1,87,65
484050-99999,-0.5727272727272397,-0.8426967919720436,-0.30275775348243567,-1,174,100
643840-99999,1.9545454545453609,0.28587208343107173,3.62321882565965,1,83,180
346910-99999,-0.13636363636361803,-0.4545873000963191,0.18186002736908302,0,178,138
719640-99999,-0.4818181818181597,-0.9592644152671175,-0.004371948369201961,-1,168,170
575450-99999,-0.009090909090914256,-0.2384013754172325,0.22021955723540398,0,175,185
783600-99999,0.32727272727276446,-0.5832847369204341,1.237830191465963,0,87,131
353210-99999,-0.5909090909090859,-1.1467579426324293,-0.03506023918574264,-1,141,170
723096-93727,-0.33636363636359734,-0.7308104249951028,0.05808315226790817,0,259,306
122720-99999,0.32727272727270984,-0.13380074122337038,0.7883461957687901,0,249,238
591170-99999,0.4636363636363303,0.11822216585328449,0.8090505614193761,1,346,315
279280-99999,-0.5363636363636122,-0.9858251984248741,-0.0869020743023502,-1,216,241
125800-99999,-0.29999999999999005,-0.6027871700603866,0.002787170060406463,0,251,245
154690-99999,-0.6545454545454445,-1.1897641971605042,-0.11932671193038491,-1,312,309
076350-99999,-0.1363636363636136,-0.47462961230829354,0.20190233958106635,0,285,291
218020-99999,-0.20909090909090544,-0.8733916770769721,0.4552098588951612,0,346,193
719130-99999,0.21818181818179738,-0.4695104607068643,0.9058740970704591,0,309,328
540120-99999,-0.9999999999999418,-1.2875842967555993,-0.7124157032442844,-1,244,264
967370-99999,-0.05454545454549242,-0.635566677405093,0.5264757683141081,0,325,309
342670-99999,-0.3454545454545288,-0.6470755004866449,-0.043833590422412694,-1,188,140
570710-99999,0.30909090909088643,-0.27354561080505735,0.8917274289868302,0,14,351
161340-99999,3.9999999999997797,0.7493894734535438,7.250610526546016,1,221,284
434730-99999,-0.09090909090907551,-0.45750857614905976,0.27569039433090875,0,311,316
260640-99999,24.10909090908943,11.323830374616895,36.894351443561966,1,219,260
076410-99999,-1.0999999999999357,-3.6987585285758264,1.498758528575955,0,15,10
713970-99999,-0.6363636363636234,-1.074227309355087,-0.1984999633721598,-1,275,284
388120-99999,-1.181818181818148,-1.7101442706345096,-0.6534920930017862,-1,343,8
985360-99999,-0.32727272727256507,-3.722993372425967,3.068447917880837,0,102,68
719240-99999,-0.16363636363634892,-1.0053258427276757,0.6780531154549778,0,53,41
474310-99999,-0.9727272727272118,-2.3970384701459655,0.45158392469154185,0,293,334
726579-99999,-0.29090909090907946,-0.4843130535714758,-0.09750512824668311,-1,266,281
042310-99999,-0.06363636363638481,-0.430940171303279,0.3036674440305094,0,95,46
077680-99999,-1.4545454545453733,-2.759522669017678,-0.14956824007306868,-1,314,31
642850-99999,-0.8999999999999684,-2.3917982591679587,0.5917982591680218,0,93,13
723656-23049,0.21818181818181426,-0.0011788763869981511,0.43754251275062667,0,269,260
938960-99999,0.4181818181818322,-0.10496009631627101,0.9413237326799354,0,282,269
474330-99999,0.38181818181815474,-0.08793840497412092,0.8515747686104305,0,275,258
703855-99999,-0.10000000000000409,-1.4634257331934961,1.263425733193488,0,129,107
163440-99999,0.13636363636367,-1.7057759783507214,1.9785032510780614,0,253,315
683620-99999,0.5181818181817609,-0.04838479267931639,1.0847484290428382,0,347,30
569690-99999,0.2636363636363639,0.026270410363414848,0.501002316909313,1,196,182
851410-99999,0.5818181818181718,-0.008828564412101447,1.172464928048445,0,4,359
036470-99999,1.7636363636362633,0.32140756671389803,3.205865160558629,1,250,122
466950-99999,-0.945454545454524,-1.9115992715308532,0.020690180621805276,0,67,76
385270-99999,-0.3727272727272499,-1.0575092876953676,0.3120547422408676,0,60,55
579470-99999,-0.5545454545454231,-0.9998053673650684,-0.10928554172577792,-1,23,21
475160-99999,-1.1545454545453717,-1.798005277106662,-0.5110856319840814,-1,277,270
134590-99999,-0.5181818181818234,-1.2420604254685221,0.2056967891048752,0,65,69
850430-99999,0.781818181818145,0.46888062214162085,1.0947557414946691,1,113,328
782290-99999,-2.11818181818165,-3.3354259975735863,-0.9009376387897134,-1,51,83
942030-99999,-1.672727272727168,-2.632528235351362,-0.7129263101029739,-1,255,249
834370-99999,0.14545454545453929,-0.16141775771065997,0.45232684861973854,0,86,95
743945-14710,-0.799999999999955,-1.3299246585476303,-0.27007534145227974,-1,307,323
585060-99999,-0.6454545454544798,-1.1972305679441302,-0.09367852296482948,-1,74,94
726055-99999,1.0999999999999308,0.13641215094089465,2.063587849058967,1,289,272
983280-99999,1.0090909090908893,0.45902079893099657,1.5591610192507819,1,172,142
013510-99999,0.9454545454545205,-0.6029915282954224,2.4939006192044633,0,298,340
296120-99999,0.8818181818181818,0.3312357429751981,1.4324006206611655,1,242,226
280130-99999,nan,nan,nan,0,194.0,nan
125750-99999,0.7454545454545025,0.47159664281636515,1.0193124480926399,1,225,250
111160-99999,7.105427357601002e-15,-0.4078593899035273,0.40785938990354154,0,262,327
742070-24201,0.8363636363635649,-0.07192027256080102,1.7446475452879309,0,219,203
442850-99999,-0.48181818181815284,-0.7569600010242779,-0.20667636261202776,-1,343,332
612930-99999,-0.12727272727274452,-0.49921688124605773,0.24467142670056868,0,200,152
766340-99999,0.2727272727272687,-0.6236831333449379,1.1691376787994754,0,30,47
512880-99999,-0.41818181818178557,-0.6961273781772424,-0.1402362581863288,-1,324,319
161250-99999,-0.39999999999994573,-1.3350008370447908,0.5350008370448993,0,177,277
833780-99999,0.472727272727252,-0.5467137948067209,1.492168340261225,0,58,73
930120-99999,-0.736363636363631,-1.4030651589974803,-0.0696621137297817,-1,141,89
471080-99999,-0.19999999999998108,-0.5031749115050144,0.1031749115050522,0,281,273
672730-99999,3.390909090909018,-1.647653106291493,8.429471288109529,0,175,99
347720-99999,-0.10909090909089869,-0.7258905099387266,0.5077086917569292,0,336,129
131210-99999,-0.554545454545438,-0.9541996869122844,-0.15489122217859158,-1,222,217
747804-99999,1.527272727272647,0.6527266928589255,2.4018187616863687,1,298,278
488260-99999,-0.6454545454545553,-1.214834150356265,-0.07607494055284547,-1,158,103
725200-94823,-0.10909090909091113,-0.536967284660877,0.3187854664790547,0,248,253
919300-99999,0.281818181818136,-1.3964585784662014,1.9600949421024734,0,84,72
021440-99999,2.045454545454453,1.134097520684294,2.956811570224612,1,268,250
219820-99999,-0.400000000000003,-1.0710922705595578,0.27109227055955176,0,19,26
781040-99999,-0.12727272727272787,-0.6302650540229787,0.375719599477523,0,93,81
825780-99999,0.009090909090935018,-0.4434962925899538,0.46167811077182386,0,47,103
876490-99999,2.1636363636362823,0.18734418697248034,4.139928540300084,1,314,277
076490-99999,4.881818181817911,-0.8828882640064801,10.646524627642302,0,307,207
479425-99999,0.19090909090909225,-0.2637499330072157,0.6455681148254002,0,48,29
724475-93909,0.13636363636364912,-0.3490861372872232,0.6218134100145214,0,231,214
726710-99999,-0.13636363636363757,-0.493549079521879,0.22082180679460384,0,305,291
916780-99999,0.9181818181817434,-0.05511056948299731,1.891474205846484,0,58,129
483750-99999,-0.42727272727272203,-0.782875945849602,-0.07166950869584215,-1,266,297
126250-99999,0.1272727272727079,-0.18716286662196302,0.4417083211673788,0,229,279
592110-99999,-0.12727272727271122,-0.5749009206210038,0.32035546607558146,0,156,173
540940-99999,-0.04545454545454808,-0.3276783782057117,0.23676928729661556,0,241,254
786500-99999,-0.18181818181816833,-0.49143455422568116,0.1277981905893445,0,217,195
483800-99999,-1.1181818181817653,-1.5161865272198611,-0.7201771091436695,-1,164,160
417490-99999,-0.5999999999999943,-1.188255131280316,-0.011744868719672619,-1,172,154
789070-99999,3.2999999999997955,0.725658683322576,5.874341316677015,1,97,50
371450-99999,-0.1454545454545355,-0.5993377442951981,0.3084286533861271,0,339,11
022590-99999,-0.127272727272691,-0.5330529563618005,0.2785075018164184,0,330,294
622590-99999,-1.609090909090809,-2.370307040509136,-0.8478747776724821,-1,36,54
321740-99999,-1.6181818181816876,-3.4770938379470104,0.24073020158363545,0,298,20
747320-99999,2.2363636363634827,0.894389178131076,3.5783380945958894,1,186,200
286660-99999,0.28181818181819285,-0.4084317871325924,0.9720681507689781,0,236,235
682420-99999,-0.6545454545454028,-2.0282206525141016,0.7191297434232959,0,32,55
297240-99999,-0.12727272727272343,-0.424815416210527,0.17026996166508013,0,213,216
766950-99999,1.427272727272673,-0.18782334037380966,3.042368794919156,0,49,71
916290-99999,-0.07272727272734514,-1.366057516149525,1.2206029706948347,0,91,92
431810-99999,-1.1090909090908418,-2.455470224082821,0.2372884059011371,0,215,224
322520-99999,0.5090909090908751,-0.5137555143357406,1.5319373325174908,0,118,338
303280-99999,-0.20909090909086925,-0.7244043708774192,0.30622255269568066,0,291,305
317070-99999,-0.7090909090908704,-1.08555581967441,-0.33262599850733077,-1,315,318
309250-99999,0.24545454545453826,0.09987609071796455,0.391033000191112,1,327,316
948040-99999,-0.48181818181813263,-1.3183274672034004,0.3546911035671353,0,185,191
152150-99999,0.39090909090907333,0.09124191311011587,0.6905762687080308,1,49,21
852070-99999,0.21818181818183424,-0.3120974236497769,0.7484610600134454,0,0,326
725266-04751,-0.4454545454545471,-0.774138361014356,-0.11677072989473825,-1,252,245
404350-99999,3.481818181817995,-0.26262408766046264,7.226260451296453,0,162,194
072300-99999,-0.29999999999997407,-0.596514358078637,-0.0034856419213112333,-1,274,275
308460-99999,-0.13636363636363047,-0.42517083429875896,0.15244356157149802,0,246,254
722576-03902,1.1727272727272249,0.481796852143376,1.8636576933110738,1,167,163
338770-99999,-0.34545454545451637,-2.8851082564971633,2.1941991655881306,0,346,91
133530-99999,0.24545454545453693,-0.17326328858794254,0.6641723794970165,0,261,238
726225-04742,1.1727272727271805,-0.03770341372931929,2.3831579591836802,0,257,196
164900-99999,-0.13636363636363757,-0.7901113544195089,0.5173840816922337,0,327,352
710800-99999,2.3545454545453115,-1.902632754227925,6.611723663318548,0,165,41
116030-99999,-0.36363636363637175,-1.2547891853221804,0.5275164580494369,0,216,248
011210-99999,0.018181818181810527,-1.2791389630893557,1.3155025994529768,0,135,219
152620-99999,-2.2181818181818125,-3.7793217716384375,-0.6570418647251874,-1,287,280
572970-99999,0.3454545454545288,-0.05753678303255089,0.7484458739416084,0,10,343
687420-99999,-0.13636363636361715,-0.5485209256670684,0.2757936529398342,0,197,226
032150-99999,0.44545454545457375,-0.38902997166363906,1.2799390625727867,0,220,228
156550-99999,0.03636363636362372,-0.5299126083125405,0.6026398810397879,0,33,42
135770-99999,0.10000000000000275,-0.23011040132438804,0.43011040132439354,0,198,298
784600-99999,0.6727272727272924,-0.2762414864630427,1.6216960319176275,0,111,88
012270-99999,-0.18181818181814613,-0.7618680673205486,0.3982317036842563,0,165,195
943630-99999,0.9636363636362821,0.21508808166543414,1.7121846456071301,1,129,108
478270-99999,0.33636363636359956,-0.16788833089015598,0.8406156036173551,0,358,328
426750-99999,-0.31818181818181146,-0.5387175723580696,-0.09764606400555334,-1,251,249
585560-99999,0.19999999999998286,-0.054283424292284166,0.4542834242922499,0,7,21
103140-99999,-0.6818181818181595,-1.174951119625451,-0.18868524401086784,-1,222,238
031330-99999,3.8545454545451983,-0.7936647667151697,8.502755675805567,0,239,250
024640-99999,0.10909090909092845,-0.20624008935174265,0.42442190753359954,0,252,240
471260-99999,1.590909090908998,0.7332091696155827,2.4486090122024136,1,320,330
531490-99999,-0.45454545454539286,-1.109191054796209,0.20010014570542323,0,285,275
780730-99999,0.8909090909090418,0.4122341606076053,1.3695840212104784,1,110,98
111010-99999,0.32727272727270496,-0.1958691872253966,0.8504146417708065,0,188,166
153150-99999,-0.17272727272725064,-0.7462185688564973,0.400764023401996,0,199,202
719403-99999,-0.3272727272727165,-0.8663407552928072,0.21179530074737418,0,224,253
804500-99999,0.9181818181817869,-0.2663492708615416,2.1027129072251154,0,86,98
946370-99999,0.8545454545454207,-0.03723991388159209,1.7463308229724337,0,119,109
723067-93726,0.15454545454543034,-0.4387605351810048,0.7478514442718655,0,280,319
624350-99999,-1.036363636363542,-2.2790714963461167,0.2063442236190327,0,355,345
836500-99999,0.36363636363630114,-0.3637715633541302,1.0910442906267326,0,79,72
166480-99999,0.29090909090907346,-0.3228355154213274,0.9046536972394743,0,59,72
284910-99999,-0.04545454545453653,-0.3374977793811807,0.24658868847210763,0,209,216
890630-99999,0.581818181818127,-0.6185742188521337,1.7822105824883876,0,355,311
561060-99999,-0.3545454545454336,-0.6436778859146279,-0.06541302317623926,-1,286,308
726776-24036,-0.4909090909090441,-1.474407633857914,0.4925894520398256,0,249,253
150990-99999,0.09999999999998721,-0.36285358337308726,0.5628535833730617,0,247,241
947000-99999,2.6727272727271294,1.9471304299941448,3.398324115460114,1,237,264
683120-99999,0.5727272727271657,-0.6568083464049779,1.8022628918593093,0,15,9
132950-99999,-0.45454545454544526,-0.7760744729490007,-0.13301643614188985,-1,290,306
485830-99999,-0.4545454545454001,-1.1596470024760936,0.2505560933852934,0,59,63
783570-99999,-1.0818181818181793,-2.764568937971905,0.6009325743355467,0,71,68
161380-99999,-1.0909090909090415,-1.6192351797254152,-0.5625830020926678,-1,354,66
645510-99999,0.03636363636361917,-0.6969635045518139,0.7696907772790522,0,215,200
477000-99999,0.22727272727271774,-0.2454256320082691,0.6999710865537045,0,262,246
478130-99999,-0.2363636363636279,-0.6195096812855182,0.1467824085582624,0,4,318
766620-99999,-0.6909090909090498,-1.1699765386444672,-0.21184164317363247,-1,207,270
353020-99999,0.8818181818181259,-0.08108668670315222,1.8447230503394039,0,132,152
239090-99999,-0.12727272727272476,-0.41681118669108747,0.16226573214563794,0,217,217
719530-99999,-0.24545454545455758,-0.740299755559015,0.24939066464989973,0,238,161
470600-99999,-0.35454545454542075,-1.083856622895893,0.37476571380505164,0,327,292
030540-99999,0.0636363636363928,-0.9468924241680821,1.0741651514408677,0,248,239
782670-99999,-0.663636363636313,-1.3907535277476435,0.06348080047501747,0,125,132
723060-13722,-0.4454545454545151,-0.8712943202941102,-0.019614770614920007,-1,247,278
020320-99999,-0.6090909090908379,-1.8416802366154024,0.6234984184337267,0,328,205
153490-99999,0.16363636363636314,-0.3333408908526301,0.6606136181253563,0,321,355
725126-14736,-0.027272727272770858,-0.6476805957360277,0.5931351411904859,0,258,262
064070-99999,0.07272727272728563,-0.5767295091113994,0.7221840545659707,0,235,264
247680-99999,-0.12727272727271366,-0.5863033258691598,0.33175787132373247,0,202,265
111470-99999,0.31818181818179947,-0.3398645613180311,0.97622819768163,0,338,215
384570-99999,-0.6272727272727219,-0.9081613717770505,-0.3463840827683932,-1,46,87
470370-99999,0.14545454545453906,-0.06065260049663182,0.3515616914057099,0,274,281
723095-93719,-0.01818181818182607,-0.4349310572392378,0.39856742087558567,0,268,304
073350-99999,0.10909090909092711,-0.2996891578078401,0.5178709759896943,0,263,265
727455-94931,-0.07272727272725632,-0.5891793488804381,0.44372480342592546,0,306,321
723066-13713,1.3545454545453839,0.36402446832470503,2.345066440766063,1,269,338
528680-99999,-0.11818181818180507,-0.5185409086489627,0.28217727228535255,0,36,40
471680-99999,0.1454545454545375,-0.08436766100013021,0.37527675190920523,0,21,290
722080-13880,-0.39999999999997327,-0.7375010606404241,-0.06249893935952244,-1,258,293
724625-99999,0.9727272727272507,0.20536278094550986,1.7400917645089915,1,236,215
012380-99999,0.9272727272728223,-0.6948635491165345,2.549409003662179,0,198,197
840080-99999,1.0545454545454396,-0.2708690479114957,2.3799599570023746,0,142,156
714900-99999,0.5999999999999632,0.1988787109697937,1.0011212890301326,1,320,311
470390-99999,-0.12727272727271455,-0.30915700668184065,0.054611552136411556,0,237,230
153140-99999,0.03636363636362905,-0.2735561328559331,0.3462834055831912,0,274,244
382620-99999,-1.0818181818181622,-1.6746487660277662,-0.48898759760855826,-1,4,6
029150-99999,-0.2909090909090546,-0.6808628315863623,0.09904464976825306,0,222,196
718930-99999,-0.2454545454545034,-0.7634964773994242,0.27258738649041736,0,44,138
535190-99999,1.1454545454544771,0.3394718884802985,1.9514372024286557,1,313,310
080050-99999,-2.290909090909043,-5.866681861747887,1.2848636799298014,0,257,83
427010-99999,-1.3363636363635871,-1.7174806500144444,-0.9552466227127299,-1,296,302
111050-99999,-0.20909090909089856,-0.5210508889965946,0.1028690708147974,0,2,11
111500-99999,0.19090909090907715,-0.007650017782642904,0.3894681996007972,0,198,205
539230-99999,0.6181818181817951,0.11931706257902047,1.1170465737845696,1,181,246
083060-99999,0.16363636363634937,-0.20780208765038155,0.5350748149230803,0,249,257
855850-99999,-1.0454545454545068,-1.54048964244627,-0.5504194484627436,-1,180,192
245570-99999,-0.19090909090907004,-0.7947349531381147,0.4129167713199746,0,119,260
299390-99999,0.6181818181817886,0.2609306010715685,0.9754330352920088,1,250,234
042600-99999,-0.5545454545453694,-1.5450664407660533,0.43597553167531455,0,12,312
724035-13773,-0.1818181818181701,-0.8527703934655148,0.48913402982917453,0,312,292
353940-99999,-0.7454545454545061,-1.2172075568258394,-0.27370153408317266,-1,200,195
517770-99999,0.327272727272673,-0.44293403473826154,1.0974794892836075,0,48,35
471064-99999,-0.10000000000000231,-1.7157941982848495,1.5157941982848449,0,242,185
960110-99999,-0.7999999999999456,-1.436299642737183,-0.16370035726270837,-1,209,153
800840-99999,0.3090909090908873,-0.7907929977348753,1.40897481591665,0,350,320
845640-99999,1.8727272727271944,0.14553384908990274,3.599920696364486,1,40,58
571930-99999,-0.41818181818180733,-0.8475929845516679,0.011229348188053212,0,34,101
719576-99999,-0.25454545454543265,-0.8010588087438395,0.2919678996529742,0,9,33
380910-99999,-1.3999999999999266,-2.4934565431329343,-0.306543456866919,-1,78,106
546160-99999,-0.3636363636363291,-0.7315154321219064,0.004242704849248213,0,131,190
010430-99999,0.35454545454545094,-0.4124515254854282,1.12154243457633,0,190,247
780160-13601,0.3363636363636475,-0.24896851970613343,0.9216957924334285,0,223,230
021860-99999,-0.499999999999976,-0.8326628393364791,-0.16733716066347293,-1,303,260
303790-99999,0.04545454545454475,-0.27862199792039244,0.36953108882948194,0,14,358
202920-99999,-0.4454545454545258,-1.0684323405536351,0.17752324964458355,0,137,142
620560-99999,-0.6181818181818048,-1.0292545562671138,-0.20710908009649587,-1,237,282
026160-99999,-1.0999999999999446,-1.5738897874071383,-0.6261102125927509,-1,249,245
284190-99999,0.06363636363632885,-0.47486475209132695,0.6021374793639847,0,193,211
723086-99999,0.4181818181817958,-0.02096780081780175,0.8573314371813934,0,255,324
471280-99999,0.47272727272724513,0.03186889389109132,0.9135856515633989,1,288,256
067530-99999,-0.1272727272727101,-0.3356473468014161,0.0811018922559959,0,295,291
